Location ID,Location Name,Address,City,Count,First Seen
"116","Budova H TUL, Univerzitní knihovna","Voroněžská 1329/13","Liberec","20","27/10/2025, 12:46:07"
"42","TechTower","Koterovská 152","Plzeň","14","27/10/2025, 12:46:07"
"89","Vzdělávací centrum SFÉRA, Automatické mlýny","Mezi mosty","Pardubice","12","27/10/2025, 12:46:07"
"155","Moravskoslezská vědecká knihovna","Prokešovo nám. 1802/9","Ostrava","10","27/10/2025, 12:46:07"
"253","VOŠ a SPŠ - posluchárna","Masarykova 197","Kutná hora","10","27/10/2025, 12:46:07"
"86","Krajská vědecká knihovna v Liberci","Rumjancevova 1362/1","Liberec","8","27/10/2025, 12:46:07"
"200","IQFABLAB","Nitranská 410/10, Liberec 3","Liberec","8","27/10/2025, 12:46:07"
"205","Jihočeský věděckotechnický park","Lipová 1789, 370 05 České Budějovice 5","České Budějovice","8","27/10/2025, 12:46:07"
"251","Sídlo ADS energy","Masarykova 645","Kutná hora","8","27/10/2025, 12:46:07"
"261","Víceúčelová díla easyLAB","Jáchymovská 437/80a","Karlovy Vary","8","27/10/2025, 12:46:07"
"77","MSIC, budova VIVA","Technologická 5, Ostrava Pustkovec, 70800","Ostrava","6","27/10/2025, 12:46:07"
"81","Centrum přírodovědných a technických oborů Univerzity Jana Evangelisty Purkyně (CPTO UJEP)","Pasteurova 3632","Ústí nad Labem","6","27/10/2025, 12:46:07"
"84","Lipo.ink","U jezu 525/4","Liberec","6","27/10/2025, 12:46:07"
"201","Technické muzeum v Liberci","Masarykova 424/5, 460 01 Liberec","Liberec","6","27/10/2025, 12:46:07"
"87","Fakulta mechatroniky, informatiky a mezioborových studií","Hálkova 6","Liberec","6","27/10/2025, 12:46:07"
"242","WorkzSpace","Národní tř. 3687/42, 695 01 Hodonín 1","Hodonín","6","27/10/2025, 12:46:07"
"250","Vysoká škola polytechnická Jihlava","Tolstého 16","Jihlava","6","27/10/2025, 12:46:07"
"127","IN-HUB Přerov","Bratrská 2","Přerov","6","27/10/2025, 12:46:07"
"96","Envelopa Hub","17. listopadu 8a","Olomouc","6","27/10/2025, 12:46:07"
"199","FEI UPCE","náměstí Čs. legií 565 530 02 Pardubice","Pardubice","4","27/10/2025, 12:46:07"
"88","Science centrum iQLANDIA, o.p.s.","Nitranská 410/10","Liberec","4","27/10/2025, 12:46:07"
"204","FF UHK","nám. Svobody 331/2, 500 02 Hradec Králové 2","Hradec Králové","4","27/10/2025, 12:46:07"
"208","KANOV - podnikatelský inkubátor","Závodní 278, 360 18 Karlovy Vary","Karlovy Vary","4","27/10/2025, 12:46:07"
"212","P-PINK","Jana Palacha 363, Pardubice 530 02","Pardubice","4","27/10/2025, 12:46:07"
"213","FES UPCE","Studentská 95, 532 10 Pardubice 2","Pardubice","4","27/10/2025, 12:46:07"
"215","FF UPCE","Studentská 95, 532 10 Pardubice 2","Pardubice","4","27/10/2025, 12:46:07"
"239","Technologické inovační centrum, 23. budova, zasedací místnost v 1. NP","Vavrečkova 5262, Zlín, 760 01 ","Zlín","4","27/10/2025, 12:46:07"
"248","ZUŠ Teplice","Chelčického 4","Teplice","4","27/10/2025, 12:46:07"
"257","Městská knihovna","Staré náměstí 135","Sokolov","4","27/10/2025, 12:46:07"
"258","Městská knihovna Chodov","Staroměstská 55","Chodov","4","27/10/2025, 12:46:07"
"260","Okresní hospodářská komora Jihlava","Benešova 13,","Jihlava","4","27/10/2025, 12:46:07"
"265","Senior Point JIhlava","Palackého 26/1305, 586 01 Jihlava","Jihlava","4","27/10/2025, 12:46:07"
"269","Gymnázium Havlíčkův Brod","Štáflova 2063","Havlíčkův Brod","4","27/10/2025, 12:46:07"
"272","VŠTE","Okružní 517","České Budějovice","4","27/10/2025, 12:46:07"
"283","Konvikt - Umělecké centrum Univerzity Palackého v Olomouci","Univerzitní nám. 225","Olomouc","4","27/10/2025, 12:46:07"
"194","Galerie Artičok","třída Karla IV. 493/13, 50002 Hradec Králové","Hradec Králové","2","27/10/2025, 12:46:07"
"195","Krajský úřad Královehradeckého kraje","Pivovarské náměstí 1245/2, 500 03 Hradec Králové","Hradec Králové","2","27/10/2025, 12:46:07"
"74","Centrum robotiky","Cukrovarská 23C","Plzeň","2","27/10/2025, 12:46:07"
"197","Kulturní centrum Svoboda Cheb","Za Mostní branou 1791/5, 350 02 Cheb 2","Cheb","2","27/10/2025, 12:46:07"
"198","DŮM U PARKU","21, Palackého 75, 779 00 Olomouc","Olomouc","2","27/10/2025, 12:46:07"
"91","Výukové centrum VŠPJ","Tolstého 1556","Jihlava","2","27/10/2025, 12:46:07"
"184","Administrativní budova Královéhradeckého kraje","Na Okrouhlíku 1371/30","Hradec Králové","2","27/10/2025, 12:46:07"
"193","Královéhradecký krajský institut pro vzdělávání a inovace","17. listopadu 861, Jičín","Jičín","2","27/10/2025, 12:46:07"
"203","FIM UHK","Hradecká 1249/6","Hradec Králové","2","27/10/2025, 12:46:07"
"206","KOSTKA - kolobka, s.r.o. ","Potůčník 449, 788 33 Hanušovice","Hanušovice","2","27/10/2025, 12:46:07"
"207","Městská knihovna T.G. Masaryka Šumperk","28. října 1280/1, 787 01 Šumperk 1","Šumperk","2","27/10/2025, 12:46:07"
"120","Technologické Inovační Centrum (TIC)","Vavrečkova 5262","Zlín","2","27/10/2025, 12:46:07"
"249","Momento Pardubice","nám. Jana Pernera 217","Pardubice","2","27/10/2025, 12:46:07"
"210","Střední škola technická a dopravní Gustava Habrmana Česká Třebová","Habrmanova 1540, 56002 Česká Třebová","Česká Třebová","2","27/10/2025, 12:46:07"
"211","Multima ","Čechovo nábřeží 1790, pardubice","Pardubice","2","27/10/2025, 12:46:07"
"214","Hotel UNO","T.G.Masaryka 897, Ústí nad Orlicí","Ústí nad Orlicí","2","27/10/2025, 12:46:07"
"216","Technická univerzita v Liberci - Aula","Univerzitní nám. 1410, 460 01 Staré Město","Liberec","2","27/10/2025, 12:46:07"
"73","nvias.org","Cukrovarská 3006/20","Plzeň","2","27/10/2025, 12:46:07"
"229","COMTES FHT","Průmyslová 995, 334 41 Dobřany","Plzeň","2","27/10/2025, 12:46:07"
"180"," Kino Pohoda Jeseník","Dittersdorfova 599/2","Jeseník","2","27/10/2025, 12:46:07"
"230","Technologické inovační centrum, 23. budova, prezentační sál ve 4. NP","Vavrečkova 5262, Zlín, 760 01 ","Zlín","2","27/10/2025, 12:46:07"
"157","Emplifi","Pod Všemi svatými 427/17","Plzeň","2","27/10/2025, 12:46:07"
"186","prostory BIC Plzeň","Riegrova 201/1, 301 00 Plzeň","Plzeň","2","27/10/2025, 12:46:07"
"163","Krajské pracoviště NPI ČR v Pardubicích","Za Pasáží 657","Pardubice","2","27/10/2025, 12:46:07"
"235","Klub 29","Sv. Anežky České 29, Pardubice","Pardubice","2","27/10/2025, 12:46:07"
